type	variable	value
E1	GLOE.WT.UT.1.1	1.13
E2	GLOE.WT.UT.1.1	1.27
E3	GLOE.WT.UT.1.1	1.23
E4	GLOE.WT.UT.1.1	1.34
E5	GLOE.WT.UT.1.1	1.27
E6	GLOE.WT.UT.1.1	1.23
E7	GLOE.WT.UT.1.1	1.09
E8	GLOE.WT.UT.1.1	1.18
E9	GLOE.WT.UT.1.1	1.07
E10	GLOE.WT.UT.1.1	1.3
E1	GLOE.WT.UT.1.2	1.09
E2	GLOE.WT.UT.1.2	1.2
E3	GLOE.WT.UT.1.2	1.25
E4	GLOE.WT.UT.1.2	1.26
E5	GLOE.WT.UT.1.2	1.31
E6	GLOE.WT.UT.1.2	1.24
E7	GLOE.WT.UT.1.2	1.21
E8	GLOE.WT.UT.1.2	1.18
E9	GLOE.WT.UT.1.2	1.09
E10	GLOE.WT.UT.1.2	1.41
E1	GLOE.WT.UT.1.3	1.08
E2	GLOE.WT.UT.1.3	1.22
E3	GLOE.WT.UT.1.3	1.19
E4	GLOE.WT.UT.1.3	1.32
E5	GLOE.WT.UT.1.3	1.26
E6	GLOE.WT.UT.1.3	1.16
E7	GLOE.WT.UT.1.3	1.12
E8	GLOE.WT.UT.1.3	1.15
E9	GLOE.WT.UT.1.3	1.12
E10	GLOE.WT.UT.1.3	1.28
E1	GLOE.WT.20.2.1	1.11
E2	GLOE.WT.20.2.1	1.27
E3	GLOE.WT.20.2.1	1.29
E4	GLOE.WT.20.2.1	1.29
E5	GLOE.WT.20.2.1	1.27
E6	GLOE.WT.20.2.1	1.25
E7	GLOE.WT.20.2.1	1.23
E8	GLOE.WT.20.2.1	1.19
E9	GLOE.WT.20.2.1	1.21
E10	GLOE.WT.20.2.1	1.36
E1	GLOE.WT.20.2.2	1.05
E2	GLOE.WT.20.2.2	1.2
E3	GLOE.WT.20.2.2	1.17
E4	GLOE.WT.20.2.2	1.32
E5	GLOE.WT.20.2.2	1.29
E6	GLOE.WT.20.2.2	1.27
E7	GLOE.WT.20.2.2	1.13
E8	GLOE.WT.20.2.2	1.16
E9	GLOE.WT.20.2.2	1.11
E10	GLOE.WT.20.2.2	1.15
E1	GLOE.WT.20.2.3	1.06
E2	GLOE.WT.20.2.3	1.15
E3	GLOE.WT.20.2.3	1.19
E4	GLOE.WT.20.2.3	1.29
E5	GLOE.WT.20.2.3	1.28
E6	GLOE.WT.20.2.3	1.25
E7	GLOE.WT.20.2.3	1.11
E8	GLOE.WT.20.2.3	1.15
E9	GLOE.WT.20.2.3	1.11
E10	GLOE.WT.20.2.3	1.21
E1	GLOE.WT.24hr.3.1	1.18
E2	GLOE.WT.24hr.3.1	1.46
E3	GLOE.WT.24hr.3.1	1.2
E4	GLOE.WT.24hr.3.1	1.4
E5	GLOE.WT.24hr.3.1	1.24
E6	GLOE.WT.24hr.3.1	1.03
E7	GLOE.WT.24hr.3.1	1
E8	GLOE.WT.24hr.3.1	1.05
E9	GLOE.WT.24hr.3.1	1.04
E10	GLOE.WT.24hr.3.1	1.69
E1	GLOE.WT.24hr.3.2	1.26
E2	GLOE.WT.24hr.3.2	1.46
E3	GLOE.WT.24hr.3.2	1.26
E4	GLOE.WT.24hr.3.2	1.31
E5	GLOE.WT.24hr.3.2	1.19
E6	GLOE.WT.24hr.3.2	1.12
E7	GLOE.WT.24hr.3.2	0.93
E8	GLOE.WT.24hr.3.2	1.06
E9	GLOE.WT.24hr.3.2	0.99
E10	GLOE.WT.24hr.3.2	1.74
E1	GLOE.WT.24hr.3.3	1.19
